coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Rocket Pool,RPL,30.03,0.024,0.041,0.15,578038,480593962,2022-03-16
Bitcoin Gold,BTG,29.74,0.018,0.028,0.032,9146317,517358240,2022-03-16
Cosmos Hub,ATOM,28.8,0.017,0.051,0.035,784802946,8346059118,2022-03-16
Waves,WAVES,28.62,0.014,0.081,0.273,1508088374,2862185867,2022-03-16
Numeraire,NMR,28.13,0.013,0.027,0,5247599,165855215,2022-03-16
Olympus,OHM,28.12,0.014,-0.019,-0.086,3529301,390854092,2022-03-16
Ethereum Classic,ETC,26.93,0.028,0.031,0.01,315618129,3573077723,2022-03-16
Wrapped NXM,WNXM,26.65,0.027,0.024,0.005,3964149,70945266,2022-03-16
Maple,MPL,25.38,-0.005,-0.019,0.154,3006803,114666914,2022-03-16
Tokemak,TOKE,25.32,0.03,0.076,-0.004,6123881,292863833,2022-03-16
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907,589774119,2022-03-16
GMX,GMX,22.78,0.028,0.038,-0.062,3864455,168867621,2022-03-16
ICHI,ICHI,22.69,0.023,0.049,0.133,910181,99403281,2022-03-16
Helium,HNT,21.72,-0.002,0.048,0.026,22415718,2183873719,2022-03-16
NEO,NEO,20.13,0.024,0.028,-0.017,148274906,1406977569,2022-03-16
OKB,OKB,19.05,0.013,0.039,0.072,180398248,4944831000,2022-03-16
Banana,BANANA,18.71,0.016,-0.141,0.708,550846,83416764,2022-03-16
Polkadot,DOT,18.55,0.031,0.035,0.095,762198942,20175265447,2022-03-16
KuCoin Token,KCS,18.41,0.014,0.009,0.02,8578734,1390455505,2022-03-16
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981,979304335,2022-03-16
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916,1031430071,2022-03-16
Poollotto.finance,PLT,17.61,0.004,0.004,0.015,737205,152110576,2022-03-16
Filecoin,FIL,17.27,0.016,0.01,-0.041,264401106,3052322720,2022-03-16
Internet Computer,ICP,16.26,0.02,0.019,-0.035,158065484,3447698400,2022-03-16
BTC Standard Hashrate Token,BTCST,15.38,0.032,0.022,-0.08,10770376,110711281,2022-03-16
Rari Governance Token,RGT,14.92,0.021,-0.025,0.02,590959,167699043,2022-03-16
Chainlink,LINK,14.41,0.023,0.064,0.102,720924698,6696893329,2022-03-16
Ethereum Name Service,ENS,14.05,0.04,0.043,0.016,39284120,326307175,2022-03-16
RMRK,RMRK,13.65,0.03,0.044,0.006,4743523,128405686,2022-03-16
Augur,REP,13.43,0.019,0.02,-0.015,7904878,93213520,2022-03-16
Bounce,AUCTION,13.1,0.016,0.018,0.027,1741028,94296802,2022-03-16
LUKSO Token,LYXE,13.05,0.016,0.015,-0.001,1147300,198688328,2022-03-16
Spookyswap,BOO,12.83,0.028,-0.028,-0.109,5125254,114555634,2022-03-16
Balancer,BAL,11.45,0.028,0.022,0.01,24421512,123217404,2022-03-16
Dero,DERO,10.86,0.034,0.015,-0.141,810741,120268451,2022-03-16
Near,NEAR,10.61,0.041,0.032,0.091,402450393,6885969777,2022-03-16
Osmosis,OSMO,9.39,0.014,0.018,-0.001,94042665,3040277019,2022-03-16
Multichain,MULTI,9.19,0.014,0.049,-0.195,1481745,168453270,2022-03-16
Uniswap,UNI,9.05,0.032,0.04,0.025,188489995,4103226435,2022-03-16
Huobi Token,HT,8.98,0.01,0.009,-0.025,32112940,1392164927,2022-03-16
Hydra,HYDRA,8.93,0.005,-0.089,-0.004,444955,103576699,2022-03-16
Alpine F1 Team Fan Token,ALPINE,8.76,0.003,0.049,1.718,153521893,99922202,2022-03-16
Vulcan Forged,PYR,8.73,0.027,0.039,-0.044,38526780,207895650,2022-03-16
Venus,XVS,8.52,0.017,0.007,-0.011,7769662,102446263,2022-03-16
BTSE Token,BTSE,8.42,0.006,0.012,0.127,1644847,170044358,2022-03-16
Aurory,AURY,8.02,0.006,0.002,-0.008,1527291,76264310,2022-03-16
Prometeus,PROM,7.96,0.017,0.008,0.015,1069360,130200675,2022-03-16
Bitkub Coin,KUB,7.89,0.004,0,-0.034,2193655,698922310,2022-03-16
UMA,UMA,7.74,0.018,0.018,-0.016,46067620,503487995,2022-03-16
Badger DAO,BADGER,7.32,0.024,0.027,-0.006,4125819,72581913,2022-03-16
THORChain,RUNE,7.23,0.04,-0.059,0.769,297836092,2165143023,2022-03-16
THORChain (ERC20),RUNE,7.15,0.07,-0.07,0.762,1838591,115794807,2022-03-16
Aurora,AURORA,6.85,-0.001,-0.02,-0.059,1292731,155499279,2022-03-16
GateToken,GT,6.52,0.012,0.031,-0.005,7695401,979761512,2022-03-16
Kadena,KDA,6.23,0.024,0.009,0.031,58659719,1061714057,2022-03-16
Hermez Network,HEZ,6.09,0.009,0.003,0.014,105821,102164945,2022-03-16
My Neighbor Alice,ALICE,6.07,0.032,0.057,-0.002,99300009,105126141,2022-03-16
LEO Token,LEO,5.97,0.007,0.01,0.055,831673,5547865232,2022-03-16
Qtum,QTUM,5.95,0.029,0.023,0.036,79032386,612948390,2022-03-16
Somnium Space CUBEs,CUBE,5.9,0.024,0.055,0.114,223101,76435550,2022-03-16
Gitcoin,GTC,5.67,0.04,0.06,-0.005,13047215,80324424,2022-03-16
PancakeSwap,CAKE,5.57,0.026,0.01,-0.068,104112686,1530696417,2022-03-16
Flow,FLOW,5.43,0.017,0.023,-0.053,57457444,1923544184,2022-03-16
Zenon,ZNN,5.35,0.011,0.025,-0.019,42667.91,257245207,2022-03-16
Injective,INJ,5.33,0.027,0.024,0.021,16026155,256116913,2022-03-16
Energy Web Token,EWT,4.91,0.015,-0.009,0.042,2224285,205388247,2022-03-16
Platypus Finance,PTP,4.82,0.045,-0.049,-0.153,2928863,91532885,2022-03-16
API3,API3,4.7,0.028,-0.008,-0.101,29731985,230984150,2022-03-16
dYdX,DYDX,4.64,0.029,0.032,-0.036,95015055,396760804,2022-03-16
Aragon,ANT,4.62,0.027,0.05,0.051,31404911,176410722,2022-03-16
Secret,SCRT,4.61,0.017,0.008,0.027,19871872,763750478,2022-03-16
Radicle,RAD,4.43,0.018,0.016,0.021,5082786,182383890,2022-03-16
Seedify.fund,SFUND,4.33,0.016,0.033,-0.161,3442729,102337446,2022-03-16
Synthetix Network Token,SNX,4.24,0.053,0.079,0.084,63349615,903998693,2022-03-16
DeFi Kingdoms,JEWEL,4.16,0.04,0.016,-0.074,11440253,302825745,2022-03-16
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838,574825195,2022-03-16
Mask Network,MASK,4.05,0.032,0.07,0.023,46857218,189430950,2022-03-16
FLEX Coin,FLEX,3.97,0.002,0.006,-0.002,1326196326,311600507,2022-03-16
Perpetual Protocol,PERP,3.85,0.019,0.012,-0.009,8343005,251018197,2022-03-16
GPEX,GPX,3.83,0.006,0.002,-0.072,179427,144648026,2022-03-16
xSUSHI,XSUSHI,3.8,0.002,0.033,0.055,107293,213613208,2022-03-16
Avalaunch,XAVA,3.78,0.029,0.032,-0.022,709787,84389747,2022-03-16
Band Protocol,BAND,3.62,0.027,0.05,0.043,25806815,149778191,2022-03-16
Tokamak Network,TON,3.57,0.01,0.025,-0.024,2216118,149004019,2022-03-16
Adshares,ADS,3.46,0.014,0.063,0.329,1223986,82839334,2022-03-16
Sovryn,SOV,3.43,0.006,-0.007,-0.071,406765,72604865,2022-03-16
Escoin Token,ELG,3.37,0.024,0.021,0.051,685965,228752259,2022-03-16
Tenset,10SET,3.3,0.016,0.03,0.434,3059468,289328276,2022-03-16
Persistence,XPRT,3.3,0.012,0.045,0.038,2580206,273550379,2022-03-16
Ergo,ERG,3.26,0.006,0.004,0.082,945449,168320273,2022-03-16
Celsius Network,CEL,3.18,0.009,0.032,0.098,3927635,1346075894,2022-03-16
Kava,KAVA,3.16,0.023,0.035,0.034,22753924,504959645,2022-03-16
Orion Protocol,ORN,3.13,0.066,0.069,0.022,10611478,108618470,2022-03-16
Sushi,SUSHI,3.12,0.036,0.069,0.082,132202954,603245561,2022-03-16
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684,807556039,2022-03-16
The Sandbox,SAND,3.08,0.009,0.126,0.092,989130040,3486478110,2022-03-16
Kyber Network Crystal Legacy,KNCL,3.07,0.025,0.02,0,191301772,189342359,2022-03-16
Kyber Network Crystal,KNC,3.06,0.025,0.008,0.002,40287449,313785580,2022-03-16
Tezos,XTZ,3.05,0.021,0.025,0.013,114838106,2665887669,2022-03-16
Rai Reflex Index,RAI,3.03,0.001,-0.001,0.003,1012855,76393616,2022-03-16
Lido DAO,LDO,2.98,0.041,0.085,0.515,4675420,321983024,2022-03-16
CRYPTO20,C20,2.94,0.006,-0.047,-0.011,53097.41,98979226,2022-03-16
Theta Network,THETA,2.82,0.032,0.033,-0.004,118835496,2798708447,2022-03-16
Zipmex Token,ZMT,2.79,-0.002,0.004,-0.005,14206660,246790193,2022-03-16
Magic,MAGIC,2.78,0.069,0.283,0.004,7430205,136718105,2022-03-16
Qredo,QRDO,2.55,0.035,0.134,0.089,23819831,126060547,2022-03-16
Celo,CELO,2.52,0.022,0.037,-0.076,46620149,1074226736,2022-03-16
Raydium,RAY,2.51,0.013,0.056,0.035,33025947,227133027,2022-03-16
Decentraland,MANA,2.43,0.021,0.065,0.014,481292822,3652548066,2022-03-16
Render Token,RNDR,2.43,0.024,0.035,-0.031,23720000,560228533,2022-03-16
Yield Guild Games,YGG,2.43,0.027,0.009,-0.057,17537941,212099797,2022-03-16
Moonbeam,GLMR,2.38,0.023,0.038,-0.036,37324761,476681084,2022-03-16
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403,583581643,2022-03-16
Nano,XNO,2.2,-0.006,0.288,0.312,109830513,292516870,2022-03-16
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402,1222563065,2022-03-16
DAO Maker,DAO,2.19,0.012,-0.01,-0.042,3559341,196210425,2022-03-16
Synapse,SYN,2.17,0.012,-0.078,0,9229483,380868743,2022-03-16
Merit Circle,MC,2.09,0.025,0.068,0.036,25892084,146317069,2022-03-16
EOS,EOS,2.06,0.019,0.032,0.048,337828464,2019196307,2022-03-16
Mobox,MBOX,2.04,0.026,-0.024,0.06,38070293,250469440,2022-03-16
Lisk,LSK,2.03,0.015,0.006,0.019,7600165,293297599,2022-03-16
Curve DAO Token,CRV,2.02,0.026,0.022,-0.006,150926378,791197822,2022-03-16
Astroport,ASTRO,2.02,0.034,-0.001,0.396,5991169,249658255,2022-03-16
Convex CRV,CVXCRV,1.95,0.038,0.021,0.007,96902.91,364340007,2022-03-16
Aavegotchi,GHST,1.95,0.007,0.008,0.017,28297857,117328055,2022-03-16
Serum,SRM,1.87,0.02,0.026,0.034,40405418,247791442,2022-03-16
Ronin,RON,1.86,0.023,0.029,-0.004,2243276,276423433,2022-03-16
MX Token,MX,1.86,0.016,0.017,0.029,380193,184031159,2022-03-16
Mina Protocol,MINA,1.81,0.015,0.105,-0.004,70360743,756143474,2022-03-16
