coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Wanchain,WAN,0.472639,0.001,0,0.003,5680953,91293951,2022-03-17
Golem,GLM,0.466554,0.001,0.003,-0.088,12086033,466317264,2022-03-17
Ocean Protocol,OCEAN,0.465948,0.001,-0.007,0.007,13125747,202260490,2022-03-17
SuperRare,RARE,0.464613,-0.003,0.014,0.019,9398219,67388220,2022-03-17
SwissBorg,CHSB,0.426636,-0.004,-0.002,-0.077,717426,407989611,2022-03-17
NuCypher,NU,0.423049,0.004,0.008,-0.107,4447816,358798163,2022-03-17
Origin Protocol,OGN,0.41561,-0.013,-0.043,0.488,103519781,197701631,2022-03-17
The Graph,GRT,0.4138,0.012,-0.06,0.193,215095821,2557806263,2022-03-17
OriginTrail,TRAC,0.403433,-0.01,0.006,-0.093,1641938,147741339,2022-03-17
Cronos,CRO,0.40337,-0.001,0.004,-0.013,64923668,10212443722,2022-03-17
Chromia,CHR,0.399507,0.001,0.053,0.02,58264434,226830657,2022-03-17
Polymath,POLY,0.396075,0.002,0.029,-0.047,16295087,356459406,2022-03-17
DigitalBits,XDB,0.395059,-0.004,0.015,0.207,1567720,302184765,2022-03-17
DODO,DODO,0.395012,-0.003,0.009,-0.033,24729655,113721778,2022-03-17
Beta Finance,BETA,0.390171,0.001,0.007,-0.087,16200954,140529092,2022-03-17
Stargaze,STARS,0.387759,0.001,-0.035,-0.209,1422449,288957891,2022-03-17
Dvision Network,DVI,0.380746,0.008,0.091,-0.108,2438408,92462684,2022-03-17
Automata,ATA,0.368096,0.004,0.004,-0.003,3784037,83651315,2022-03-17
Biswap,BSW,0.355954,0.002,-0.002,0.058,4931153,80314265,2022-03-17
Oxygen,OXY,0.355128,0.012,0.094,0.09,628756,71658098,2022-03-17
REN,REN,0.34295,0.002,0.011,-0.153,45489119,343396923,2022-03-17
Decentral Games Governance,XDG,0.338029,0.013,0.052,0.013,147662,104005183,2022-03-17
Fetch.ai,FET,0.333007,0.01,0.016,-0.06,18218920,229348461,2022-03-17
Decentral Games,DG,0.322954,-0.01,0.059,0.008,1307545,124818085,2022-03-17
DUSK Network,DUSK,0.32285,-0.024,-0.007,-0.108,10733697,129772453,2022-03-17
Steem,STEEM,0.322052,0.004,0.02,-0.011,4267199,127246640,2022-03-17
Cartesi,CTSI,0.321965,0.003,0.033,0,17202782,167831024,2022-03-17
aelf,ELF,0.320715,-0.001,0.007,-0.038,6682894,148069098,2022-03-17
Covalent,CQT,0.319453,0,0.036,-0.1,1930543,81675970,2022-03-17
Clover Finance,CLV,0.313737,-0.003,0.028,-0.014,10080749,81842102,2022-03-17
Hxro,HXRO,0.304276,0,-0.003,-0.066,71104.14,133744124,2022-03-17
ZoidPay,ZPAY,0.303949,-0.004,-0.018,0.212,580730,88904956,2022-03-17
MaidSafeCoin,MAID,0.295224,0.001,0.001,-0.067,7810.13,133599281,2022-03-17
Civic,CVC,0.28617,-0.001,0.067,0.044,61814649,192055742,2022-03-17
Alpha Finance,ALPHA,0.280024,0.003,0.004,-0.003,5728562,125007857,2022-03-17
WAX,WAXP,0.276858,0.001,0.01,-0.04,20480550,626238810,2022-03-17
ShapeShift FOX Token,FOX,0.272417,0.001,0.002,-0.028,671439,74091492,2022-03-17
Orchid Protocol,OXT,0.245431,0,0.035,0.06,16831078,145268599,2022-03-17
Utrust,UTK,0.237003,-0.001,0.015,-0.051,8201156,109107417,2022-03-17
Mdex,MDX,0.231902,0.001,0.037,0.043,10470382,200934743,2022-03-17
Gala,GALA,0.230194,-0.001,0.01,-0.014,598834885,1738051630,2022-03-17
AllianceBlock,ALBT,0.229837,-0.003,0.038,0.053,380133,88953339,2022-03-17
Oasis Network,ROSE,0.228057,0.002,0.002,-0.047,46311590,795948991,2022-03-17
Request,REQ,0.219206,-0.002,0.006,0.093,11689099,169969973,2022-03-17
Aergo,AERGO,0.218479,-0.004,0.012,-0.129,7272167,79214487,2022-03-17
TrueFi,TRU,0.214734,0.095,0.194,0.242,14102206,137832596,2022-03-17
AIOZ Network,AIOZ,0.214561,-0.012,-0.095,-0.107,5493212,103148149,2022-03-17
Velas,VLX,0.213294,0.002,0.001,-0.049,3415563,485455669,2022-03-17
AscendEx Token,ASD,0.209002,-0.002,-0.001,-0.047,1996023,155507488,2022-03-17
Hedera,HBAR,0.206426,0.001,0.031,-0.031,50736623,4083726959,2022-03-17
COTI,COTI,0.204755,0.001,0.016,-0.032,12162479,215079506,2022-03-17
Chiliz,CHZ,0.203275,0.018,0.025,0.013,108108608,1083816831,2022-03-17
Rally,RLY,0.196257,0.015,0.09,-0.001,7033356,510399595,2022-03-17
Ardor,ARDR,0.194427,-0.004,0.008,-0.043,5019344,194331101,2022-03-17
Everscale,EVER,0.19269,0,-0.014,-0.011,14939.44,258439550,2022-03-17
NKN,NKN,0.191882,0.005,-0.003,-0.014,5872145,124824929,2022-03-17
Stellar,XLM,0.190708,0.003,0.021,0.009,202509305,4685689241,2022-03-17
cUNI,CUNI,0.186789,0.002,0.02,0.013,818771,91378796,2022-03-17
Presearch,PRE,0.186584,0.001,0.037,-0.025,706220,74002744,2022-03-17
Sperax,SPA,0.170244,-0.004,0.026,-0.026,911737,133654459,2022-03-17
Ellipsis,EPS,0.166502,-0.001,0.012,-0.029,5645716,104379795,2022-03-17
Theta Fuel,TFUEL,0.164365,0.005,0.012,0.025,15319348,1886178774,2022-03-17
Handshake,HNS,0.155984,-0.004,-0.001,-0.168,171651,74049207,2022-03-17
Victoria VR,VR,0.154224,0.01,0.067,0.131,10041552,130077410,2022-03-17
RSK Infrastructure Framework,RIF,0.151385,-0.002,0.01,-0.07,206651,125639850,2022-03-17
Mango,MNGO,0.150121,0.001,0.015,-0.017,491181,156098438,2022-03-17
Bifrost,BFC,0.149851,0,0.005,-0.026,1897563,159291451,2022-03-17
Constellation,DAG,0.149017,-0.001,-0.02,0.125,925421,376819046,2022-03-17
IDEX,IDEX,0.142172,0.004,-0.002,-0.055,11854190,90697310,2022-03-17
Harmony,ONE,0.13101,0.007,0.027,-0.035,66326965,1548715682,2022-03-17
Radix,XRD,0.128757,0.02,0.053,0.074,221810,1262403652,2022-03-17
e-Radix,EXRD,0.128151,0.009,0.05,0.078,2236562,508057632,2022-03-17
Kirobo,KIRO,0.125334,0.009,-0.008,-0.102,60450.88,119964465,2022-03-17
SKALE,SKL,0.123037,0.002,-0.026,-0.013,8458820,399524174,2022-03-17
Conflux,CFX,0.118894,-0.001,0.022,-0.055,5488882,185392410,2022-03-17
Dogecoin,DOGE,0.11685,0.001,0.011,-0.038,364002532,15509604862,2022-03-17
Blox,CDT,0.110513,0.053,0.151,-0.007,151228,74560549,2022-03-17
Astar,ASTR,0.107755,-0.001,0.044,0.027,8916820,218062741,2022-03-17
MXC,MXC,0.105998,-0.005,0.017,0.169,22877952,258748257,2022-03-17
Alien Worlds,TLM,0.099181828,0.008,0.028,-0.019,53533075,123122031,2022-03-17
Beldex,BDX,0.098103513,0.005,-0.029,0.378,270960,147183281,2022-03-17
NEM,XEM,0.097812627,0.003,-0.004,-0.027,12854080,880846859,2022-03-17
Sifchain,EROWAN,0.092998916,0.005,0.026,-0.031,2618246,72370847,2022-03-17
STP Network,STPT,0.087992796,0,0.016,-0.046,7298290,127931734,2022-03-17
SingularityNET,AGIX,0.082793325,-0.001,-0.015,-0.081,1211638,73431209,2022-03-17
Loom Network (OLD),LOOMOLD,0.0821722,0.005,0.102,0.018,2657217,68416663,2022-03-17
IoTeX,IOTX,0.077158067,-0.015,0.007,0.058,53815127,732645462,2022-03-17
Metadium,META,0.076139641,-0.002,-0.012,0.004,9899795,128563501,2022-03-17
Ankr,ANKR,0.072733294,0.001,0.007,-0.05,21277459,594634282,2022-03-17
Orbs,ORBS,0.072277991,-0.001,0.001,-0.008,5313234,209383845,2022-03-17
ARPA Chain,ARPA,0.069003374,0,0.008,-0.037,13633759,67762845,2022-03-17
Casper Network,CSPR,0.067306582,0.014,0.062,0.037,10361454,280491915,2022-03-17
Divi,DIVI,0.064853595,0.018,0.036,-0.008,202892,180441034,2022-03-17
Songbird,SGB,0.063697976,0.003,0.014,-0.117,1141938,495479119,2022-03-17
bZx Protocol,BZRX,0.062809109,-0.704,-0.646,-0.464,43.49,88971844,2022-03-17
CoinEx Token,CET,0.061140663,-0.001,0,0.049,525677,227207627,2022-03-17
ConstitutionDAO,PEOPLE,0.060997698,0.004,0.004,-0.055,148965778,309380835,2022-03-17
TRON,TRX,0.060963261,0.001,0.004,0.002,431830570,6203344202,2022-03-17
Status,SNT,0.057335511,-0.002,0.01,-0.086,8733449,222865089,2022-03-17
IRISnet,IRIS,0.055425599,0.016,-0.003,-0.088,2976839,68090240,2022-03-17
PEAKDEFI,PEAK,0.05519711,0.04,-0.018,-0.175,72443.45,74047013,2022-03-17
Pylon Protocol,MINE,0.054820562,-0.002,0.025,0.118,255036,106639197,2022-03-17
XDC Network,XDC,0.052299017,0.012,0.034,-0.056,9542402,644478092,2022-03-17
Ravencoin,RVN,0.051574181,0.003,-0.003,-0.067,14056137,539976450,2022-03-17
BENQI,QI,0.050743317,0,0.024,-0.048,8530801,79411049,2022-03-17
JUST,JST,0.04998816,0.005,0.022,-0.044,46444031,365218776,2022-03-17
VeChain,VET,0.04867371,0.004,0.016,0.002,226027621,3250000117,2022-03-17
Everdome,DOME,0.047881406,-0.025,0.131,0.038,59460882,407661797,2022-03-17
PlatON Network,LAT,0.046419884,0.005,0.022,-0.047,2598864,111691885,2022-03-17
Metahero,HERO,0.04469741,-0.005,-0.01,-0.13,7788330,234727576,2022-03-17
Zilliqa,ZIL,0.041562864,0.002,0.013,0.001,30167523,585253625,2022-03-17
Humans.ai,HEART,0.041455611,-0.006,-0.063,-0.558,898844,1309127902,2022-03-17
Medibloc,MED,0.040421543,0.001,0.007,-0.013,4569259,217275804,2022-03-17
Alchemy Pay,ACH,0.040004818,0.005,-0.013,-0.045,6824925,164599197,2022-03-17
Celer Network,CELR,0.038316853,0.009,0.036,-0.038,29766536,216429137,2022-03-17
Circuits of Value,COVAL,0.037961004,0.002,-0.012,-0.054,366787,67826274,2022-03-17
RIZON,ATOLO,0.034953546,0.001,-0.018,-0.05,334964,75194885,2022-03-17
Dock,DOCK,0.033661854,0.001,0.008,-0.022,2401530,70448413,2022-03-17
KardiaChain,KAI,0.032601818,-0.002,-0.015,-0.061,2890097,109334845,2022-03-17
DEAPCOIN,DEP,0.027101683,-0.008,-0.018,-0.159,5123322,126235341,2022-03-17
Amp,AMP,0.025125131,-0.002,0.005,-0.033,6754386,1207186380,2022-03-17
JasmyCoin,JASMY,0.023128578,-0.016,0.098,0.685,657631520,110553343,2022-03-17
IOST,IOST,0.022801633,0,0.01,-0.027,36690680,526323716,2022-03-17
cUSDC,CUSDC,0.022557565,0.002,0.001,0.001,1167.72,2466484503,2022-03-17
cDAI,CDAI,0.021937899,0,0.001,0.001,187.54,1928856560,2022-03-17
cUSDT,CUSDT,0.021768404,0,0,0,5320.09,775840943,2022-03-17
Klever,KLV,0.02093064,-0.002,-0.01,0.015,3409196,110824223,2022-03-17
Verasity,VRA,0.020213149,0.008,-0.03,-0.113,55707710,90445041,2022-03-17
DigiByte,DGB,0.019936487,0.004,0.014,-0.035,12119980,302087064,2022-03-17
Nerve Finance,NRV,0.018468001,-0.015,0.057,-0.04,26173.31,77747624,2022-03-17
Smooth Love Potion,SLP,0.017171858,0.003,0.038,-0.064,237291070,642859351,2022-03-17
XYO Network,XYO,0.016424294,0,0.005,-0.055,4920583,204717393,2022-03-17
QuarkChain,QKC,0.016027564,0.008,0.028,-0.031,2308543,106547838,2022-03-17
Vader Protocol,VADER,0.014688496,0.008,0.022,-0.363,3416278,71296654,2022-03-17
StormX,STMX,0.013797399,0.002,-0.014,-0.1,1844462,128358108,2022-03-17
Reserve Rights Token,RSR,0.013289915,-0.003,-0.037,0.016,62606911,174938398,2022-03-17
Sun Token,SUN,0.011601809,0,0,-0.026,20031921,122048839,2022-03-17
FUNToken,FUN,0.011072745,-0.007,0.012,-0.012,840985,117522843,2022-03-17
Proton,XPR,0.011066116,-0.002,0.008,-0.102,8687937,109182891,2022-03-17
Nervos Network,CKB,0.010823611,0.002,0.026,-0.025,5885924,326436851,2022-03-17
Verge,XVG,0.009119355,0,-0.001,-0.137,3989138,150565690,2022-03-17
Everipedia,IQ,0.008982625,-0.005,-0.004,-0.005,2844319,90044377,2022-03-17
Siacoin,SC,0.008924907,0.006,0.002,-0.058,8429351,448569310,2022-03-17
Reef Finance,REEF,0.008484927,0.002,0.005,-0.022,15128863,154953141,2022-03-17
Hifi Finance,MFT,0.007610381,-0.003,0.007,0.058,13457578,71444464,2022-03-17
ShareToken,SHR,0.007367751,0,0.029,-0.175,261673,69453171,2022-03-17
inSure DeFi,SURE,0.006161036,0.006,0.03,0.132,1159883,162967567,2022-03-17
Electroneum,ETN,0.00521421,0.006,0.025,-0.05,189537,93414016,2022-03-17
Telcoin,TEL,0.00515123,0.011,0.051,-0.014,2189831,316916231,2022-03-17
Holo,HOT,0.004092449,0.002,-0.013,-0.026,45825585,726741711,2022-03-17
Spell Token,SPELL,0.00347664,0.007,-0.02,-0.109,47028727,316934220,2022-03-17
ECOMI,OMI,0.003390696,0.001,-0.007,-0.253,3682195,1972387319,2022-03-17
VeThor Token,VTHO,0.003276533,-0.002,0.01,0.021,5281032,149610423,2022-03-17
Cratos,CRTS,0.003236528,0.003,0.099,-0.027,16517737,223198961,2022-03-17
Dent,DENT,0.002405588,-0.002,0.023,-0.042,15366549,230289059,2022-03-17
Radio Caca,RACA,0.00133739,0,0.004,0.084,17146649,277127753,2022-03-17
SafeMoon,SFM,0.000962072,0.012,-0.064,-0.152,310296,544136940,2022-03-17
Pundi X [OLD],NPXS,0.000739037,0.005,0.23,-0.056,3233.81,175021533,2022-03-17
Power Cash,PRCH,0.000580256,0.004,0.057,-0.034,121835,165663549,2022-03-17
WINkLink,WIN,0.000265885,0,-0.001,-0.043,78640150,256027145,2022-03-17
eCash,XEC,7.98E-05,-0.002,0.007,0.046,23608652,1517444421,2022-03-17
Floki Inu,FLOKI,2.89E-05,0,0.019,-0.095,7318364,264302676,2022-03-17
Shiba Inu,SHIB,2.24E-05,-0.002,-0.002,-0.063,435900196,12283647613,2022-03-17
VVS Finance,VVS,2.20E-05,0,-0.013,-0.129,2778953,236041817,2022-03-17
StarLink,STARL,1.45E-05,0.002,0.003,-0.023,6019692,144516643,2022-03-17
UFO Gaming,UFO,7.57E-06,0.007,0.005,-0.056,5528279,194844243,2022-03-17
BitTorrent,BTT,1.83E-06,0.002,0.009,-0.017,72096087,1685671515,2022-03-17
APENFT,NFT,1.54E-06,0.001,0.01,-0.052,52887977,426608620,2022-03-17
Dogelon Mars,ELON,7.17E-07,0.006,-0.01,-0.035,8089301,395179401,2022-03-17
SafeMoon [OLD],SAFEMOON,5.15E-07,0.002,0.02,-0.009,879.16,277800683,2022-03-17
FEG Token BSC,FEG,3.89E-09,0.025,-0.023,-0.013,270143,163269693,2022-03-17
FEG Token,FEG,3.71E-09,-0.012,0.005,0.001,596220,152507971,2022-03-17
Bezoge Earth,BEZOGE,2.98E-09,-0.004,-0.022,-0.177,176270,130736810,2022-03-17
Baby Doge Coin,BABYDOGE,2.83E-09,0.004,-0.012,-0.071,9830393,449901755,2022-03-17
Kishu Inu,KISHU,1.48E-09,0,-0.039,0.073,5930373,143713655,2022-03-17
