coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin Gold,BTG,29.92,0,0.007,-0.036,6176845,523876360,2022-03-17
Rocket Pool,RPL,29.01,0.003,-0.034,0.029,1766976,469695713,2022-03-17
Waves,WAVES,28.78,0.003,0.007,0.008,728914468,2875764773,2022-03-17
Cosmos Hub,ATOM,28.48,0.005,-0.012,-0.053,504577854,8263048473,2022-03-17
Numeraire,NMR,27.87,0,-0.009,-0.036,3832085,164787989,2022-03-17
Olympus,OHM,27.85,0.002,-0.005,-0.147,8810942,391190971,2022-03-17
Ethereum Classic,ETC,27.11,0.004,0.006,-0.036,254873416,3623500485,2022-03-17
Maple,MPL,26.62,-0.016,0.048,0.216,6013862,120557876,2022-03-17
Wrapped NXM,WNXM,26.39,0.003,-0.01,-0.03,1579870,70593491,2022-03-17
GMX,GMX,25.47,0.003,0.119,0.014,3169278,190389663,2022-03-17
Livepeer,LPT,24.57,0.013,0.032,-0.023,11245178,612934461,2022-03-17
Tokemak,TOKE,24.1,0.006,-0.042,-0.118,6082833,280398265,2022-03-17
ICHI,ICHI,23.02,0.005,0.017,0.108,662181,100868057,2022-03-17
Helium,HNT,22.94,0.004,0.057,0.057,21484397,2312307759,2022-03-17
NEO,NEO,20.65,0.001,0.026,-0.03,131240437,1456710686,2022-03-17
OKB,OKB,19.98,0.001,0.049,0.075,170494374,5198998452,2022-03-17
Polkadot,DOT,18.88,0.001,0.02,0.056,665211395,20667608398,2022-03-17
Convex Finance,CVX,18.71,0.006,0.024,0.095,22222451,1013012985,2022-03-17
KuCoin Token,KCS,18.19,-0.006,-0.011,-0.032,8987570,1385861365,2022-03-17
Poollotto.finance,PLT,17.97,0.015,0.021,0.036,701074,156426727,2022-03-17
Frax Share,FXS,17.71,0.002,-0.01,-0.012,3134769,1023317870,2022-03-17
Filecoin,FIL,17.67,0.002,0.024,-0.062,194035869,3150729995,2022-03-17
Internet Computer,ICP,16.83,0.003,0.034,-0.037,139063958,3629124742,2022-03-17
Banana,BANANA,15.33,0.002,-0.181,0.393,541918,68212793,2022-03-17
Rari Governance Token,RGT,15.15,0,0.016,-0.064,109283,170001175,2022-03-17
Ethereum Name Service,ENS,15.1,-0.003,0.075,0.029,130802509,350492086,2022-03-17
BTC Standard Hashrate Token,BTCST,15.08,0.007,-0.015,-0.092,3149394,109935865,2022-03-17
Chainlink,LINK,14.54,0.003,0.009,0.037,555565709,6790110728,2022-03-17
RMRK,RMRK,13.61,-0.006,-0.003,-0.07,3122953,129381545,2022-03-17
Augur,REP,13.56,0.001,0.01,-0.041,5896456,94396497,2022-03-17
Spookyswap,BOO,13.41,-0.005,0.027,-0.073,3033122,120688730,2022-03-17
Bounce,AUCTION,13.12,0.002,0.002,0,1640514,94608029,2022-03-17
LUKSO Token,LYXE,13.11,-0.002,0.007,-0.051,2438281,199459617,2022-03-17
Balancer,BAL,11.52,0,0.006,-0.038,8895097,124477702,2022-03-17
Dero,DERO,10.93,0.001,0.007,-0.158,568520,122930832,2022-03-17
Near,NEAR,10.9,0.003,0.026,-0.063,392643350,7152121268,2022-03-17
Alpine F1 Team Fan Token,ALPINE,10,0.002,0.142,0.953,226663985,114038968,2022-03-17
Osmosis,OSMO,9.33,0.002,-0.007,-0.077,61428078,3010426563,2022-03-17
Hydra,HYDRA,9.26,0.004,0.04,0.056,884096,107523003,2022-03-17
Uniswap,UNI,9.22,0.002,0.02,0.003,158548328,4212948930,2022-03-17
Huobi Token,HT,9.11,0,0.013,-0.001,29386478,1418233628,2022-03-17
Vulcan Forged,PYR,8.9,0.001,0.023,-0.096,20305571,212825987,2022-03-17
Venus,XVS,8.86,0.003,0.04,-0.01,15729939,106857130,2022-03-17
Multichain,MULTI,8.85,-0.001,-0.033,-0.243,841002,162445121,2022-03-17
BTSE Token,BTSE,8.47,0.017,0.007,0.088,182389,171754643,2022-03-17
Aurory,AURY,8.09,-0.001,0.008,0.004,1438567,76843664,2022-03-17
THORChain,RUNE,8.08,0.006,0.116,0.464,384542700,2430711865,2022-03-17
Prometeus,PROM,8.05,-0.001,0.011,-0.031,889637,132399958,2022-03-17
THORChain (ERC20),RUNE,7.98,0.003,0.122,0.584,2414143,129360305,2022-03-17
Bitkub Coin,KUB,7.93,-0.002,0.004,-0.045,2877708,703620569,2022-03-17
UMA,UMA,7.69,-0.003,-0.006,-0.046,62505441,503852158,2022-03-17
Aurora,AURORA,7.35,-0.001,0.072,-0.069,1298850,167615843,2022-03-17
Badger DAO,BADGER,7.24,-0.005,-0.011,-0.074,3893756,72193740,2022-03-17
Somnium Space CUBEs,CUBE,6.89,0.011,0.173,0.2,379297,89700384,2022-03-17
PancakeSwap,CAKE,6.51,0.002,0.172,0.043,449533416,1806774957,2022-03-17
GateToken,GT,6.32,-0.004,-0.031,-0.05,6795778,959114001,2022-03-17
My Neighbor Alice,ALICE,6.27,0.001,0.033,-0.016,99965004,109282154,2022-03-17
Kadena,KDA,6.24,0.008,0.003,-0.053,48584887,1069867085,2022-03-17
LEO Token,LEO,6.23,0.004,0.044,0.068,1071771,5840393387,2022-03-17
Hermez Network,HEZ,6.17,0.002,0.015,0.013,68193.73,103279211,2022-03-17
Qtum,QTUM,5.97,0.003,0.003,-0.013,61604038,621303049,2022-03-17
Flow,FLOW,5.72,0.01,0.052,-0.053,118680955,2031100138,2022-03-17
